Year;Make;Model;Vehicle Class;Engine Size (L);Cylinders;Transmission;Fuel Type;Fuel Consumption City; Fuel Consumption Hwy; Fuel Consumption Combined; Fuel Consumption Combined (mpg);CO2 Emissions
2019;Acura;ILX;Compact;24;4;AM8;Z;99;70;86;33;199
2019;Acura;MDX SH-AWD;SUV: Small;35;6;AS9;Z;122;90;108;26;252
2019;Acura;MDX SH-AWD A-SPEC;SUV: Small;35;6;AS9;Z;122;95;110;26;258
2019;Acura;MDX Hybrid AWD;SUV: Small;30;6;AM7;Z;91;90;90;31;210
2019;Acura;NSX;Two-seater;35;6;AM9;Z;111;108;110;26;261
2019;Acura;RDX AWD;SUV: Small;20;4;AS10;Z;110;86;99;29;232
2019;Acura;RDX AWD A-SPEC;SUV: Small;20;4;AS10;Z;113;91;103;27;242
2019;Acura;RLX Hybrid;Mid-size;35;6;AM7;Z;84;82;84;34;196
2019;Acura;TLX;Compact;24;4;AM8;Z;100;71;87;32;205
2019;Acura;TLX A-SPEC;Compact;24;4;AM8;Z;102;74;89;32;209
2019;Acura;TLX SH-AWD;Compact;35;6;AS9;Z;114;77;98;29;228
2019;Acura;TLX SH-AWD A-SPEC;Compact;35;6;AS9;Z;120;82;103;27;240
2019;Alfa Romeo;4C Coupe;Two-seater;18;4;AM6;Z;97;69;84;34;197
2019;Alfa Romeo;4C Spider;Two-seater;18;4;AM6;Z;97;69;84;34;197
2019;Alfa Romeo;Giulia;Mid-size;20;4;A8;Z;100;72;87;32;205
2019;Alfa Romeo;Giulia AWD;Mid-size;20;4;A8;Z;105;77;92;31;217
2019;Alfa Romeo;Giulia Quadrifoglio;Mid-size;29;6;A8;Z;138;96;119;24;280
2019;Alfa Romeo;Stelvio;SUV: Small;20;4;A8;Z;103;81;93;30;218
2019;Alfa Romeo;Stelvio AWD;SUV: Small;20;4;A8;Z;108;83;96;29;226
2019;Alfa Romeo;Stelvio AWD Quadrifoglio;SUV: Small;29;6;A8;Z;141;104;124;23;292
2019;Aston Martin;DB11 V8;Minicompact;40;8;A8;Z;130;98;115;25;271
2019;Aston Martin;DB11 AMR;Minicompact;52;12;A8;Z;155;106;133;21;312
2019;Aston Martin;DBS Superleggera;Minicompact;52;12;A8;Z;164;107;138;20;324
2019;Aston Martin;Rapide AMR;Subcompact;60;12;A8;Z;167;109;141;20;332
2019;Aston Martin;Vanquish Zagato;Minicompact;60;12;A8;Z;175;114;147;19;346
2019;Aston Martin;Vantage V8;Two-seater;40;8;A8;Z;127;94;112;25;264
